id,Name,Country,Score
1539,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,67.5
1540,Shaanxi University of Science and Technology,China,67.5
1541,Middlesex University,United Kingdom,67.5
1542,Shihezi University,China,67.5
1543,Lobachevsky University,Russia,67.5
1544,Norwegian School of Sport Sciences,Norway,67.5
1545,National University of Mar del Plata,Argentina,67.5
1546,Trinity University,USA,67.5
1547,Ohio Wesleyan University,USA,67.5
1548,Guilin University of Electronic Technology,China,67.5
1549,Pontifical Catholic University of Rio de Janeiro,Brazil,67.5
1550,Birla Institute of Technology and Science, Pilani,India,67.5
1551,King Mongkut's University of Technology Thonburi,Thailand,67.5
1552,North China University of Science and Technology,China,67.5
1553,Semnan University,Iran,67.5
1554,Lanzhou University of Technology,China,67.5
1555,De Montfort University,United Kingdom,67.5
1556,Shanxi Medical University,China,67.4
1557,Cooper Union,USA,67.4
1558,Indian Statistical Institute, Kolkata,India,67.4
1559,Bu-Ali Sina University,Iran,67.4
1560,Claremont Graduate University,USA,67.4
1561,University of Zambia,Zambia,67.4
1562,Cleveland State University,USA,67.4
1563,Shanghai Maritime University,China,67.4
1564,Pontifical Javeriana University,Colombia,67.4
1565,Inner Mongolia University,China,67.4
1566,MARA University of Technology,Malaysia,67.4
1567,Slovak University of Technology in Bratislava,Slovak Republic,67.4
1568,Tamil Nadu Dr. M.G.R. Medical University,India,67.4
1569,Anhui Agricultural University,China,67.4
1570,Sheffield Hallam University,United Kingdom,67.4
1571,China Three Gorges University,China,67.4
1572,Yantai University,China,67.4
1573,Tianjin Normal University,China,67.4
1574,Pontifical Catholic University of Peru,Peru,67.4
1575,Beni Suef University,Egypt,67.4
1576,University of Trier,Germany,67.4
1577,Iwate Medical University,Japan,67.4
1578,Al-Azhar University,Egypt,67.4
1579,Glasgow Caledonian University,United Kingdom,67.4
1580,University of Niš,Serbia,67.3
1581,Harokopio University,Greece,67.3
1582,Indian Institute of Technology Hyderabad,India,67.3
1583,Georgia Southern University,USA,67.3
1584,University Paris 1 Panthéon-Sorbonne,France,67.3
1585,Liaoning University,China,67.3
1586,Lithuanian University of Health Sciences,Lithuania,67.3
1587,University of Fukui,Japan,67.3
1588,Kongju National University,South Korea,67.3
1589,Kwangwoon University,South Korea,67.3
1590,National Dong Hwa University,Taiwan,67.3
1591,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,Russia,67.3
1592,Federal Rural University of Pernambuco,Brazil,67.3
1593,University of Massachusetts Dartmouth,USA,67.3
1594,University of Agder,Norway,67.3
1595,Aichi Medical University,Japan,67.3
1596,Shahid Bahonar University of Kerman,Iran,67.3
1597,University of Valparaíso,Chile,67.3
1598,Kunming Medical University,China,67.3
1599,Brooklyn College,USA,67.3
1600,University of Peradeniya,Sri Lanka,67.3
1601,Chengdu University of Technology,China,67.3
1602,Polytechnic University of Cartagena,Spain,67.3
1603,Iwate University,Japan,67.3
1604,Indian Institute of Management Calcutta,India,67.2
1605,University of Warmia and Mazury in Olsztyn,Poland,67.2
1606,Shenyang Agricultural University,China,67.2
1607,North University of China,China,67.2
1608,Rowan University,USA,67.2
1609,Wonkwang University,South Korea,67.2
1610,Ariel University,Israel,67.2
1611,Sechenov University,Russia,67.2
1612,Harbin University of Science and Technology,China,67.2
1613,Medical University of Białystok,Poland,67.2
1614,National Institute of Technology, Tiruchirappalli,India,67.2
1615,University of North Carolina Wilmington,USA,67.2
1616,Gangneung-Wonju National University,South Korea,67.2
1617,Laurentian University,Canada,67.2
1618,University of Indonesia,Indonesia,67.2
1619,Vietnam National University, Ho Chi Minh City,Vietnam,67.2
1620,Mimar Sinan Fine Arts University,Turkey,67.2
1621,Nara Medical University,Japan,67.2
1622,Polytechnic University of Hauts-de-France,France,67.2
1623,Bharathiar University,India,67.2
1624,Ondokuz Mayıs University,Turkey,67.2
1625,Space Research Institute of the Russian Academy of Sciences,Russia,67.2
1626,Kocaeli University,Turkey,67.2
1627,Yangtze University,China,67.2
1628,Western Washington University,USA,67.1
1629,California State University, Los Angeles,USA,67.1
1630,University of La Rioja,Spain,67.1
1631,Nelson Mandela University,South Africa,67.1
1632,Hunan University of Science and Technology,China,67.1
1633,University of New Orleans,USA,67.1
1634,Beijing University of Chinese Medicine,China,67.1
1635,Peoples' Friendship University of Russia,Russia,67.1
1636,University of South Wales,United Kingdom,67.1
1637,Kingston University,United Kingdom,67.1
1638,Beaux-Arts de Paris,France,67.1
1639,Grigore T. Popa University of Medicine and Pharmacy,Romania,67.1
1640,National University of the South,Argentina,67.1
1641,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,Russia,67.1
1642,University of Leoben,Austria,67.1
1643,Tzu Chi University,Taiwan,67.1
1644,Chapman University,USA,67.1
1645,University of Kashan,Iran,67.1
1646,University of Molise,Italy,67.1
1647,Catholic University of the North,Chile,67.1
1648,College of Charleston,USA,67.1
1649,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,Russia,67.1
1650,Jackson State University,USA,67.1
1651,Southern Federal University,Russia,67.1
1652,Open University of Catalonia,Spain,67.1
1653,University of Kragujevac,Serbia,67.0
1654,Thammasat University,Thailand,67.0
1655,Kyorin University,Japan,67.0
1656,Guangdong Medical University,China,67.0
1657,Changchun University of Science and Technology,China,67.0
1658,Payame Noor University,Iran,67.0
1659,Shandong University of Technology,China,67.0
1660,Estonian University of Life Sciences,Estonia,67.0
1661,Georgian Technical University,Georgia,67.0
1662,Agricultural University of Athens,Greece,67.0
1663,ISCTE – University Institute of Lisbon,Portugal,67.0
1664,University of Québec at Trois-Rivières,Canada,67.0
1665,Transilvania University of Brașov,Romania,67.0
1666,Homi Bhabha National Institute,India,67.0
1667,Xi'an University of Architecture and Technology,China,67.0
1668,Yazd University,Iran,67.0
1669,Central European University,Hungary,67.0
1670,Comillas Pontifical University,Spain,67.0
1671,Anadolu University,Turkey,67.0
1672,James Madison University,USA,67.0
1673,Naval Postgraduate School,USA,67.0
1674,University of Westminster,United Kingdom,67.0
1675,University of Ruhuna,Sri Lanka,67.0
1676,Akita University,Japan,67.0
1677,Indian Institute of Technology Bhubaneswar,India,66.9
1678,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,Ukraine,66.9
1679,Central Queensland University,Australia,66.9
1680,Institute of Physics, Polish Academy of Sciences,Poland,66.9
1681,PLA University of Science and Technology,China,66.9
1682,University of Jammu,India,66.9
1683,Menoufia University,Egypt,66.9
1684,St. John's University,USA,66.9
1685,Zhejiang Chinese Medical University,China,66.9
1686,AgroSup Dijon,France,66.9
1687,Catholic University of Portugal,Portugal,66.9
1688,University of the West of Scotland,United Kingdom,66.9
1689,Marshall University,USA,66.9
1690,Federal University of Rio Grande,Brazil,66.9
1691,Pontifical Catholic University of Paraná,Brazil,66.9
1692,Beijing Technology and Business University,China,66.9
1693,Japan Advanced Institute of Science and Technology,Japan,66.9
1694,Appalachian State University,USA,66.9
1695,Oslo Metropolitan University,Norway,66.9
1696,University of Malta,Malta,66.9
1697,South Dakota School of Mines and Technology,USA,66.9
1698,University of Rajasthan,India,66.9
1699,Amrita Vishwa Vidyapeetham,India,66.9
1700,University of San Francisco, Quito,Ecuador,66.9
1701,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,Russia,66.9
1702,University of Arkansas at Little Rock,USA,66.8
1703,BI Norwegian Business School,Norway,66.8
1704,Nanchang Hangkong University,China,66.8
1705,Hongik University,South Korea,66.8
1706,Urmia University,Iran,66.8
1707,University of Gondar,Ethiopia,66.8
1708,Saint Mary's University,Canada,66.8
1709,Henan University of Technology,China,66.8
1710,Jamia Millia Islamia,India,66.8
1711,University of Cassino and Southern Lazio,Italy,66.8
1712,Idaho State University,USA,66.8
1713,Technical University of Crete,Greece,66.8
1714,Dongguan University of Technology,China,66.8
1715,New Mexico Institute of Mining and Technology,USA,66.8
1716,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,Ukraine,66.8
1717,Roskilde University,Denmark,66.8
1718,Union College,USA,66.8
1719,Shanghai University of Electric Power,China,66.8
1720,St. Marianna University School of Medicine,Japan,66.8
1721,Washington and Lee University,USA,66.8
1722,Eskişehir Osmangazi University,Turkey,66.8
1723,Sookmyung Women's University,South Korea,66.8
1724,Mendel University in Brno,Czech Republic,66.8
1725,California State University, Sacramento,USA,66.8
1726,Architectural Association School of Architecture,United Kingdom,66.8
1727,University of Shizuoka,Japan,66.8
1728,University of Koblenz-Landau,Germany,66.7
1729,University of Puerto Rico, Río Piedras Campus,USA,66.7
1730,Cyprus University of Technology,Cyprus,66.7
1731,University of South-Eastern Norway,Norway,66.7
1732,IFP School,France,66.7
1733,Eulji University,South Korea,66.7
1734,University of the Philippines Manila,Philippines,66.7
1735,Federation University Australia,Australia,66.7
1736,N.N. Bogolyubov Institute for Theoretical Physics of the National Academy of Sciences of Ukraine,Ukraine,66.7
1737,Diego Portales University,Chile,66.7
1738,Free University of Bozen-Bolzano,Italy,66.7
1739,University of La Rochelle,France,66.7
1740,Kütahya Dumlupınar University,Turkey,66.7
1741,Kyoto Institute of Technology,Japan,66.7
1742,Federal University of Mato Grosso,Brazil,66.7
1743,Oita University,Japan,66.7
1744,Hamilton College,USA,66.7
1745,University of Zimbabwe,Zimbabwe,66.7
1746,Zhengzhou University of Light Industry,China,66.7
1747,Suranaree University of Technology,Thailand,66.7
1748,Kansai Medical University,Japan,66.7
1749,Mae Fah Luang University,Thailand,66.7
1750,University of Technology of Belfort-Montbéliard,France,66.7
1751,Hankuk University of Foreign Studies,South Korea,66.7
1752,Dokkyo Medical University,Japan,66.7
1753,A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,Russia,66.6
1754,Yunnan Normal University,China,66.6
1755,University of Technology of Compiègne,France,66.6
1756,Düsseldorf Art Academy,Germany,66.6
1757,University of Sharjah,United Arab Emirates,66.6
1758,Moscow Conservatory,Russia,66.6
1759,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,Russia,66.6
1760,Humanitas University,Italy,66.6
1761,Kanagawa University,Japan,66.6
1762,East Tennessee State University,USA,66.6
1763,University of Notre Dame Australia,Australia,66.6
1764,Ludong University,China,66.6
1765,China West Normal University,China,66.6
1766,Hebei Agricultural University,China,66.6
1767,Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,66.6
1768,Institut supérieur de l'aéronautique et de l'espace,France,66.6
1769,Bahçeşehir University,Turkey,66.6
1770,Central University of Venezuela,Venezuela,66.6
1771,Zhongnan University of Economics and Law,China,66.6
1772,Technological Institute of Aeronautics,Brazil,66.6
1773,European University Institute,Italy,66.6
1774,Catholic University of Daegu,South Korea,66.6
1775,Shanghai Institute of Technology,China,66.6
1776,Meiji University,Japan,66.6
1777,Guru Nanak Dev University,India,66.6
1778,Towson University,USA,66.6
1779,National United University,Taiwan,66.5
1780,Kennesaw State University,USA,66.5
1781,Mid Sweden University,Sweden,66.5
1782,Manisa Celal Bayar University,Turkey,66.5
1783,Polytechnic Institute of Porto,Portugal,66.5
1784,Xinjiang Medical University,China,66.5
1785,University of Peshawar,Pakistan,66.5
1786,University of Zielona Góra,Poland,66.5
1787,University of Bialystok,Poland,66.5
1788,University of Agriculture in Krakow,Poland,66.5
1789,Federal University of Campina Grande,Brazil,66.5
1790,Goldsmiths, University of London,United Kingdom,66.5
1791,University of Mazandaran,Iran,66.5
1792,King Khalid University,Saudi Arabia,66.5
1793,Nara Women's University,Japan,66.5
1794,A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,Russia,66.5
1795,Guilin University of Technology,China,66.5
1796,Wellesley College,USA,66.5
1797,Kawasaki Medical School,Japan,66.5
1798,Xinyang Normal University,China,66.5
1799,Franklin & Marshall College,USA,66.5
1800,Tunghai University,Taiwan,66.5
1801,Sichuan Normal University,China,66.5
1802,Minia University,Egypt,66.5
1803,University of the Philippines Diliman,Philippines,66.5
1804,Federal University of Triângulo Mineiro,Brazil,66.5
1805,Alfaisal University,Saudi Arabia,66.4
1806,University of Winnipeg,Canada,66.4
1807,Pamukkale University,Turkey,66.4
1808,Chubu University,Japan,66.4
1809,Institute of Physical Chemistry, Polish Academy of Sciences,Poland,66.4
1810,Kyoto Sangyo University,Japan,66.4
1811,Karlstad University,Sweden,66.4
1812,Kaunas University of Technology,Lithuania,66.4
1813,Federal University of Ouro Preto,Brazil,66.4
1814,Xi'an Jiaotong-Liverpool University,China,66.4
1815,University of Valle,Colombia,66.4
1816,University of Dhaka,Bangladesh,66.4
1817,University of Nova Gorica,Slovenia,66.4
1818,Embry-Riddle Aeronautical University,USA,66.4
1819,University of Science and Technology Houari Boumediene,Algeria,66.4
1820,Autonomous University of Sinaloa,Mexico,66.4
1821,National University of Comahue,Argentina,66.4
1822,Bahauddin Zakariya University,Pakistan,66.4
1823,Xinxiang Medical University,China,66.4
1824,PETRONAS University of Technology,Malaysia,66.4
1825,Industrial University of Santander,Colombia,66.4
1826,Taibah University,Saudi Arabia,66.4
1827,Sakarya University,Turkey,66.4
1828,Guangdong Pharmaceutical University,China,66.4
1829,National Defense Medical College,Japan,66.4
1830,University of Toulon,France,66.4
1831,University of Burgos,Spain,66.4
1832,Hamad Bin Khalifa University,Qatar,66.3
1833,University of Madras,India,66.3
1834,Wrocław University of Environmental and Life Sciences,Poland,66.3
1835,University of Alaska Anchorage,USA,66.3
1836,International University of Health and Welfare,Japan,66.3
1837,University of Talca,Chile,66.3
1838,Florida Agricultural and Mechanical University,USA,66.3
1839,University of the Highlands and Islands,United Kingdom,66.3
1840,Malmö University,Sweden,66.3
1841,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,66.3
1842,Rajiv Gandhi University of Health Sciences,India,66.3
1843,Indian Institute of Science Education and Research, Bhopal,India,66.3
1844,ESCP Europe,France,66.3
1845,Drew University,USA,66.3
1846,Central South University of Forestry and Technology,China,66.3
1847,Bond University,Australia,66.3
1848,Annamalai University,India,66.3
1849,Mediterranean University of Reggio Calabria,Italy,66.3
1850,Osaka Medical College,Japan,66.3
1851,Federal University of Alagoas,Brazil,66.3
1852,Near East University,Northern Cyprus,66.3
1853,Government College University Faisalabad,Pakistan,66.3
1854,Başkent University,Turkey,66.3
1855,Far Eastern Federal University,Russia,66.3
1856,Necmettin Erbakan University,Turkey,66.3
1857,University of La Réunion,France,66.3
1858,Institute of Chemical Technology, Mumbai,India,66.3
1859,IHE Delft Institute for Water Education,Netherlands,66.2
1860,Interdisciplinary Center Herzliya,Israel,66.2
1861,University of Nigeria,Nigeria,66.2
1862,Kettering University,USA,66.2
1863,Linyi University,China,66.2
1864,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,Russia,66.2
1865,Cracow University of Technology,Poland,66.2
1866,Benha University,Egypt,66.2
1867,Le Mans University,France,66.2
1868,Duquesne University,USA,66.2
1869,West Pomeranian University of Technology, Szczecin,Poland,66.2
1870,Mekelle University,Ethiopia,66.2
1871,Federal Rural University of Rio de Janeiro,Brazil,66.2
1872,Muhimbili University of Health and Allied Sciences,Tanzania,66.2
1873,Indian Institute of Technology Gandhinagar,India,66.2
1874,University of Karachi,Pakistan,66.2
1875,Hanbat National University,South Korea,66.2
1876,College of Staten Island,USA,66.2
1877,Southwest Medical University,China,66.2
1878,National Yunlin University of Science and Technology,Taiwan,66.2
1879,University of Northern British Columbia,Canada,66.2
1880,University of Ostrava,Czech Republic,66.2
1881,Sohag University,Egypt,66.2
1882,Institute of Ecology (INECOL),Mexico,66.2
1883,Technical University of Ostrava,Czech Republic,66.2
1884,University of Richmond,USA,66.2
1885,Shiraz University of Technology,Iran,66.2
1886,University of Kurdistan,Iran,66.1
1887,Liaoning Normal University,China,66.1
1888,Jönköping University,Sweden,66.1
1889,Wichita State University,USA,66.1
1890,University of Roehampton,United Kingdom,66.1
1891,Indian Institute of Engineering Science and Technology, Shibpur,India,66.1
1892,National Changhua University of Education,Taiwan,66.1
1893,Çağ University,Turkey,66.1
1894,Liaoning University of Technology,China,66.1
1895,Gebze Technical University,Turkey,66.1
1896,Van Yüzüncü Yıl University,Turkey,66.1
1897,National Chiayi University,Taiwan,66.1
1898,V.S. Sobolev Institute of Geology and Mineralogy of the Siberian Branch of the Russian Academy of Sciences,Russia,66.1
1899,Technological University Dublin,Ireland,66.1
1900,Kanazawa Medical University,Japan,66.1
1901,Amity University,India,66.1
1902,University of West Bohemia,Czech Republic,66.1
1903,Jiaxing University,China,66.1
1904,Jilin Agricultural University,China,66.1
1905,Chongqing Technology and Business University,China,66.1
1906,Edinburgh Napier University,United Kingdom,66.1
1907,Cheikh Anta Diop University of Dakar,Senegal,66.1
1908,Rosalind Franklin University of Medicine and Science,USA,66.1
1909,Federal University of Piauí,Brazil,66.1
1910,Nagaoka University of Technology,Japan,66.1
1911,University of Rzeszów,Poland,66.1
1912,Autonomous University of Chile,Chile,66.1
1913,Chongqing Normal University,China,66.0
1914,Aoyama Gakuin University,Japan,66.0
1915,Kansai University,Japan,66.0
1916,Tezpur University,India,66.0
1917,Shanghai University of Engineering Science,China,66.0
1918,Imam Abdulrahman Bin Faisal University,Saudi Arabia,66.0
1919,Harbin Normal University,China,66.0
1920,Sunchon National University,South Korea,66.0
1921,Kermanshah University of Medical Sciences,Iran,66.0
1922,Nazarbayev University,Kazakhstan,66.0
1923,Siberian Federal University,Russia,66.0
1924,Autonomous University of the State of Morelos,Mexico,66.0
1925,Clausthal University of Technology,Germany,66.0
1926,University of Colorado Colorado Springs,USA,66.0
1927,Ningxia Medical University,China,66.0
1928,Victor Babeș University of Medicine and Pharmacy, Timișoara,Romania,66.0
1929,Federal Scientific Research Centre «Crystallography and Photonics» of the Russian Academy of Sciences,Russia,66.0
1930,Sivas Cumhuriyet University,Turkey,66.0
1931,Central University of Finance and Economics,China,66.0
1932,Daegu University,South Korea,66.0
1933,Çanakkale Onsekiz Mart University,Turkey,66.0
1934,Graduate School & Training Center, Research Institute of Petroleum Exploration and Development,China,66.0
1935,University of Djillali Liabès, Sidi Bel-Abbès,Algeria,66.0
1936,Center for Scientific Research and Higher Education of Ensenada,Mexico,66.0
1937,Dicle University,Turkey,66.0
1938,Lebanese University,Lebanon,66.0
1939,University of San Diego,USA,66.0
1940,Jimma University,Ethiopia,66.0
1941,İnönü University,Turkey,65.9
1942,Gakushuin University,Japan,65.9
1943,Baqiyatallah University of Medical Sciences,Iran,65.9
1944,Ss. Cyril and Methodius University in Skopje,North Macedonia,65.9
1945,Federal University of Amazonas,Brazil,65.9
1946,University of Québec at Chicoutimi,Canada,65.9
1947,Indian Institute of Science Education and Research, Thiruvananthapuram,India,65.9
1948,Hubei University of Technology,China,65.9
1949,University of Pannonia,Hungary,65.9
1950,Tshwane University of Technology,South Africa,65.9
1951,Punjab Agricultural University,India,65.9
1952,Air Force Engineering University,China,65.9
1953,Reed College,USA,65.9
1954,Hanoi University of Science and Technology,Vietnam,65.9
1955,Leeds Beckett University,United Kingdom,65.9
1956,Tokyo University of Pharmacy and Life Sciences,Japan,65.9
1957,Guizhou Medical University,China,65.9
1958,Northeast Ohio Medical University,USA,65.9
1959,Josip Juraj Strossmayer University of Osijek,Croatia,65.9
1960,SRM Institute of Science and Technology,India,65.9
1961,Dongbei University of Finance and Economics,China,65.9
1962,University of Bergamo,Italy,65.9
1963,University of Wolverhampton,United Kingdom,65.9
1964,Chengdu University of Information Technology,China,65.9
1965,Ahvaz Jundishapur University of Medical Sciences,Iran,65.9
1966,B. Verkin Institute for Low Temperature Physics and Engineering of the National Academy of Sciences of Ukraine,Ukraine,65.9
1967,Reykjavík University,Iceland,65.9
1968,Jiangxi Agricultural University,China,65.8
1969,Dalarna University,Sweden,65.8
1970,Open University of the Netherlands,Netherlands,65.8
1971,Vilnius Gediminas Technical University,Lithuania,65.8
1972,University of Veracruz,Mexico,65.8
1973,Mazandaran University of Medical Sciences,Iran,65.8
1974,Danube University Krems,Austria,65.8
1975,Shahrood University of Technology,Iran,65.8
1976,National University of Tucumán,Argentina,65.8
1977,University of International Business and Economics,China,65.8
1978,Institute of Problems of Chemical Physics of the Russian Academy of Sciences,Russia,65.8
1979,SASTRA,India,65.8
1980,Pondicherry University,India,65.8
1981,Sam Houston State University,USA,65.8
1982,Sophia University,Japan,65.8
1983,University of Sousse,Tunisia,65.8
1984,Shanxi Normal University,China,65.8
1985,National Institute of Mental Health and Neurosciences,India,65.8
1986,Polytechnic Institute of Bragança,Portugal,65.8
1987,East China University of Technology,China,65.8
1988,Shahid Chamran University of Ahvaz,Iran,65.8
1989,University of Hawaii at Hilo,USA,65.8
1990,University of North Florida,USA,65.8
1991,Trinity College,USA,65.8
1992,Riga Technical University,Latvia,65.8
1993,Sonoma State University,USA,65.8
1994,National Institute of Pharmaceutical Education and Research, S.A.S. Nagar,India,65.8
1995,Gadjah Mada University,Indonesia,65.8
1996,Santa Catarina State University,Brazil,65.8
1997,Yancheng Institute of Technology,China,65.7
1998,Xi'an University of Science and Technology,China,65.7
1999,CEU San Pablo University,Spain,65.7
2000,Huzhou University,China,65.7
